"Country","LEBF20052","LEBM20052","maxINFM20052","GDPPCUS2005","HXPC2005","PctHXPUB2005","TotFertRate2005","AdolFertRt2005","FtoMPrimaryEnrl2005ONY","PctUrb2005","Sanitation2005ONY","ImprWaterUrb2005ONY","ImpWatRur2005ONY","FLFPR2005","MLFP2005","PopGr2005","PctPop0142005","PctPop65Pl2005"
"Suriname","74.28225566","67.06325566","29.58325566","3556.775501","278.0827538","44.8075909","2.501","42.147","96.2067137","73.9","84","97","78","36.2","65.7","1.2112869","29.794561","6.0779296"
"Swaziland","46.86934005","46.85234005","71.01134005","2244.714549","166.4476955","68.433964","3.783","93.1305","93.3413305","24.1","53","90","56","50.8","76.1","0.8399564","41.89406","3.1817575"
"Sweden","86.2548215","81.8448215","6.254821504","41065.82415","3713.325061","81.6451679","1.77","7.9185","99.7964558","84.3","100","100","100","60.1","68.8","0.3557501","17.4040767","17.1509123"
"Switzerland","74.19317311","68.97317311","1","50083.4674","5598.283273","59.462321","1.42","5.5185","99.8351811","73.3","100","100","100","59.3","74.9","0.6409942","16.1311071","15.9793668"
"Syrian Arab Republic","73.10993141","69.36893141","13.57793141","1493.574199","61","50.5040621","3.46","68.5625","95.2756718","53.2","93","95","82","20","78.9","3.240858","36.880255","3.1337627"
"Tajikistan","66.50822226","60.04922226","58.98922226","353.5382582","17.8464297","22.6879687","3.615","29.932","96.1677899","26.4","93","93","57","53.1","74.6","1.2665211","39.4423994","3.8797724"
"Tanzania","52.2092687","50.6322687","74.6072687","373.0731714","14.1012671","48.5095176","5.634","131.214","96.4899685","24.2","24","82","45","86.6","90.6","2.7600033","44.5820646","3.0180587"
"Thailand","75.6741686","68.0681686","17.4441686","2674.207018","94.8951921","64.393416","1.803","40.722","96.96958","32.3","96","99","97","66.2","81.1","1.016619","22.9393209","7.103412"
"Timor-Leste","62.01158136","60.38858136","62.90758136","334.7272832","52.5800732","83.0097507","6.781","59.015","92.2289338","26.1","44","80","57","58.6","82.4","4.2069662","46.2068917","2.7543336"
"Togo","61.14877901","57.40377901","67.82877901","351.8345366","28.1824963","23.4107426","4.559","71.5515","84.8269942","39.9","12","86","40","62","85.9","2.5144261","41.2906203","3.362088"
"Tonga","81.76743026","76.49143026","24.70543026","2547.292169","101.3776664","75.7651561","4.152","22.392","97.56238","24","96","100","100","53.3","75","0.6637672","37.6318967","5.7637001"
"Trinidad and Tobago","70.67482818","63.44982818","29.42582818","12123.40483","568.1198369","50.371609","1.609","34.981","97.1420461","12.2","92","97","93","54.2","77.2","0.3545685","21.9355989","6.2984905"
"Tunisia","80.5883284","76.6883284","25.0883284","2888.408504","181.351845","51.5278689","2.04","7.062","97.139874","65.3","85","99","84","24.8","70.6","0.9678755","25.6515313","6.6746706"
"Turkey","74.55198232","69.69698232","25.67298232","6786.375924","383.28789","71.3965364","2.159","40.771","95.1930981","67.3","89","99","92","24.9","72.3","1.2995079","28.4936636","5.6558247"
"Turkmenistan","67.96502929","59.87602929","47.94902929","1673.351807","119.5346878","59.958212","2.62","21.287",NA,"47.3","98","97","72","61","73.2","1.4347811","32.3303849","4.5599519"
"Uganda","50.46202966","49.59302966","85.63802966","313.5971131","22.4176313","29.7087586","6.56","160.7085","99.6982862","12.5","47","89","60","78.6","90.9","3.2594101","49.3312213","2.6140051"
"Ukraine","70.69532918","58.95532918","11.42532918","1828.717626","126.7970993","55.1721928","1.2","28.903","99.631172","67.8","95","99","95","51.7","65","-0.7327907","14.6675316","16.0727814"
"United Arab Emirates","76.07563045","73.66663045","5.465630448","32526.00314","887.8049967","67.5897214","2.185","19.5455","98.8927287","77.7","97","100","100","39.3","91.3","3.8959678","19.6089197","1.0833615"
"United Kingdom","93.93456689","89.87456689","17.88456689","37858.97812","3115.209294","81.9212873","1.78","25.654","100.0361388","89.7","100","100","100","54.7","69.3","0.577215","17.9658219","16.096846"
"United States","77.28385584","72.08385584","3.783855843","42534.47979","6562.75366","44.4309924","2.054","39.4825","99.14233","80.8","100","100","94","58.6","72.6","0.9195053","20.8303118","12.3835656"
"Uruguay","83.43950163","75.99950163","17.01950163","5252.363155","413.3981002","73.613982","2.04","62.3","97.5005016","92","99","100","95","51.8","75.4","0.120803","23.7691097","13.5472585"
"Uzbekistan","66.95549339","60.60249339","36.14949339","546.7691398","25.8364256","47.9102685","2.36","13.606","97.996943","36.7","97","98","82","56.2","68.1","1.1646212","32.8107022","4.7462035"
"Vanuatu","69.00322022","65.25822022","14.81622022","1877.839642","59.3788886","72.9116595","4.159","50.696","97.388641","23.5","47","95","74","79.4","88.4","2.6968737","40.0894491","3.2757952"
"Venezuela, R.B. de","76.53315365","70.60315365","17.52315365","5481.303804","295.4949457","43.2883516","2.65","91","98.0247506","92.3","91","94","75","49.7","80.8","1.7076918","31.3215935","4.9789019"
"Vietnam","82.69353669","78.89853669","28.34353669","636.7421684","37.5723136","25.9000236","2.154","18.1525",NA,"26.4","68","97","85","68.5","76.5","1.3014753","29.1890963","6.1587581"
"Yemen, Rep. of","64.00822801","60.86322801","60.19822801","796.0921373","36.8280592","38.1459393","5.586","73.32","74.1100433","28.9","46","75","58","18.5","73.1","2.8833658","45.691713","2.3460913"
"Zambia","41.14109773","40.02509773","91.55009773","609.6934674","42.8237053","54.8737299","6.02","151.053","95.637361","35","47","87","42","60.5","78.6","2.2934729","46.0352882","2.9673043"
"Zimbabwe","56.08903705","54.06403705","76.48603705","273.9936301","24.1803206","45.3512269","3.606","69.892","98.9596601","35.9","44","99","72","61.6","76","-0.1378839","40.9938322","3.7801429"
